US Atlantic Herring Survey Data
105
Spring NMFS Albatross
1987 2008
1 1 0 0.5
2 8
1	0.5061	4.0865	2.2028	2.3202	7.6540	6.4184	7.4421
1	0.3529	5.4123	6.9658	4.6459	3.7184	5.0311	7.8236
1	0.0885	2.7221	8.5524	8.2818	2.2064	1.2906	2.3682
1	0.2849	2.1339	5.4307	8.4328	5.5675	1.3844	1.3559
1	0.0015	1.5806	1.8497	1.4574	1.8100	1.6410	1.2698
1	0.1573	0.3369	1.6428	0.7706	0.9844	1.1473	0.8609
1	3.6535	6.5330	2.5128	4.2858	1.0820	1.1033	0.7196
1	1.1105	16.6852	4.8357	0.4671	0.3099	0.0943	0.0873
1	0.8350	4.8714	14.3303	2.1433	0.3375	0.1649	0.0175
1	2.3445	2.1918	1.7865	2.3777	0.1930	0.0629	0.0137
1	0.1029	3.4376	1.1855	1.1790	2.5595	0.2365	0.0890
1	0.2074	1.3054	14.9619	5.2533	5.9803	8.2271	1.4741
1	0.0316	0.3068	0.5687	3.0763	0.5896	0.4518	0.3263
1	0.0006	0.1716	0.5164	0.7169	1.3520	0.2960	0.3527

